Date,Open,High,Low,Close,Adj.Close,Volume
2017-01-26,2293.750000,2299.500000,2289.500000,2294.000000,2294.000000,1386477
2017-01-27,2294.000000,2296.750000,2287.000000,2289.000000,2289.000000,1170427
2017-01-29,null,null,null,null,null,null
2017-01-30,2282.000000,2285.750000,2263.250000,2276.000000,2276.000000,942076
2017-01-31,2275.750000,2278.250000,2262.250000,2274.500000,2274.500000,1850992
2017-02-01,2277.000000,2285.000000,2268.250000,2274.500000,2274.500000,1628810
2017-02-02,2275.000000,2279.750000,2264.500000,2275.500000,2275.500000,1565006
2017-02-03,2274.000000,2294.000000,2270.500000,2291.000000,2291.000000,1414426
2017-02-05,null,null,null,null,null,null
2017-02-06,2293.000000,2294.250000,2283.500000,2286.500000,2286.500000,1415043
2017-02-07,2286.250000,2295.000000,2284.000000,2288.500000,2288.500000,1164914
2017-02-08,2285.750000,2292.000000,2281.000000,2290.250000,2290.250000,1202059
2017-02-09,2290.500000,2307.750000,2287.750000,2304.250000,2304.250000,1283261
2017-02-10,2304.250000,2315.750000,2303.000000,2312.750000,2312.750000,1354847
2017-02-12,null,null,null,null,null,null
2017-02-13,2314.250000,2329.000000,2313.250000,2326.250000,2326.250000,1177521
2017-02-14,2326.500000,2337.750000,2319.750000,2337.000000,2337.000000,1210205
2017-02-15,2335.500000,2351.500000,2331.250000,2350.500000,2350.500000,1390309
2017-02-16,2350.250000,2350.750000,2336.750000,2345.500000,2345.500000,1532340
2017-02-17,2345.000000,2348.750000,2336.500000,2348.000000,2348.000000,1737007
2017-02-19,null,null,null,null,null,null
2017-02-21,2346.500000,2365.000000,2346.000000,2360.000000,2360.000000,1399520
2017-02-22,2360.000000,2363.750000,2355.250000,2361.000000,2361.000000,1653551
2017-02-23,2362.000000,2367.500000,2353.000000,2362.750000,2362.750000,1301504
2017-02-24,2361.500000,2365.750000,2349.500000,2365.000000,2365.000000,1556359
2017-02-26,null,null,null,null,null,null
2017-02-27,2362.750000,2370.750000,2361.000000,2368.250000,2368.250000,1551959
2017-02-28,2365.750000,2368.750000,2357.500000,2362.750000,2362.750000,1156575
2017-03-01,2364.500000,2401.000000,2363.250000,2393.500000,2393.500000,1610710
2017-03-02,2392.250000,2394.250000,2378.000000,2382.000000,2382.000000,2171551
2017-03-03,2379.750000,2383.250000,2373.750000,2381.250000,2381.250000,1744834
2017-03-05,null,null,null,null,null,null
2017-03-06,2380.250000,2380.750000,2367.000000,2375.500000,2375.500000,1357594
2017-03-07,2371.250000,2375.500000,2364.500000,2366.500000,2366.500000,1376883
2017-03-08,2365.750000,2373.000000,2359.500000,2364.000000,2364.000000,1303962
2017-03-09,2363.750000,2369.250000,2354.000000,2366.250000,2366.250000,1651698
2017-03-10,2367.500000,2379.750000,2362.250000,2371.750000,2371.750000,1788548
2017-03-12,null,null,null,null,null,null
2017-03-13,2370.750000,2375.250000,2368.000000,2375.000000,2375.000000,1361113
2017-03-14,2374.000000,2374.750000,2358.000000,2366.500000,2366.500000,1042690
2017-03-15,2367.000000,2390.500000,2366.500000,2383.750000,2383.750000,952366
2017-03-16,2382.500000,2392.000000,2376.750000,2382.750000,2382.750000,621381
2017-03-17,2382.250000,2385.750000,2379.000000,2384.500000,2384.500000,377982
2017-03-19,null,null,null,null,null,null
2017-03-20,2373.750000,2376.000000,2365.500000,2370.250000,2370.250000,1277357
2017-03-21,2369.000000,2378.750000,2338.000000,2342.250000,2342.250000,1076099
2017-03-22,2340.500000,2348.750000,2332.250000,2342.500000,2342.500000,2567939
